
Name,IC3D-Code,omim,orphacode,decade of diagnosis,primarily affected layer,recurrent erosions,corneal thinning,non progressive,inheritance,may be unilateral,microcysts,epithelial thickening,stroma: rings / stars,stroma: central snowflakes / lines,stroma: cloudy appearance,stroma: arcus,stroma: honeycomb,stroma: confluent geographic,stroma: pre decemetal haze
Map-dot-fingerprint dystrophy,EBMD,121820,,3,epi,y,n,y,NO,,y,,,,,,,,
"Epithelial recurrent erosion dystrophy, ""Franceschetti""",ERED,122400,,0,epi,y,n,,AD,,,,,,,,,,
Posterior polymorphous corneal dystrophy,PPCD,"122000,  609140, 609141,  618031 ",,2,endo,n,,y,AD,y,,,,,,,,,
Macular corneal dystrophy,MCD,217800,,2,"stro, endo",n,,,AR,,,,,y,y,,,,
Subepithelial mucinous corneal dystrophy,SMCD,612867,,1,epi,,n,,AD,,,,,,,,,,
Meesmann epithelial corneal dystrophy,MECD,122100,98954,1,epi,y,n,,AD,,y,,,,,,,,
Lisch epithelial corneal dystrophy,LECD,300778,98955,3,epi,n,n,,XD,y,y,,,,,,,,
Gelatinous drop- like corneal dystrophy,GDCD,204870,,2,epi,y,n,,AR,,,y,,,,,,,
Lattice corneal dystrophy,LCD 1,122200,,1,stro,y,n,,AD,,,,,y,,,,,
Granular corneal dystrophy,GCD 1,121900,,1,stro,y,,,AD,,,,,y,,,,,
Avellino,GCD 2,607541,,2,stro,y,,,AD,,,,y,y,,,,,
Reis–Bücklers corneal dystrophy,RBCD,608470,,1,stro,y,,,AD,,,,,y,y,,,y,
Thiel–Behnke corneal dystrophy,TBCD,602082,,2,stro,y,,,AD,,,,,,,,y,,
Schnyder corneal dystrophy,SCD,21800,,3,stro,n,n,,AD,,,,,,,y,,,
Fleck corneal dystrophy,FCD,121850,,1,stro,n,,y,AD,,,,,y,,,,,
Posterior amorphous corneal dystrophy,PACD,612868,,0,stro,,,,AD,,,,,,,,,,y
Central cloudy dystrophy of François,CCDF,217600,,2,stro,,,y,AD,,,,,,,,,,y
Pre-Descemet corneal dystrophy,PDCD,NA,,,stro,,,,XR,,,,,,,,,,y
Congenital hereditary endothelial dystrophy,CHED,217700,,0,endo,n,,,AR,,,,,,y,,,,
Congenital stromal corneal dystrophy,CSCD,610048,,0,stro,,,,AD,,,,,,y,,,,
X-linked endothelial corneal dystrophy ,XLED,300779,,0,endo,,,,X,,,,,,y,,,,
Grayson–Wilbrandt corneal dystrophy,GWCD,NA,,,,,,,AD,,,,,,,,,,
